Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%,day,week,month,year
2014-04-24,39.86,39.74,39.97,39.3,42.38,0.43,24,17,4,2014
2014-04-25,39.91,40.29,40.68,39.75,56.88,0.13,25,17,4,2014
2014-04-28,40.87,40.14,41.29,40.09,50.61,2.41,28,18,4,2014
2014-04-29,40.51,41.1,41.19,40.39,29.64,-0.88,29,18,4,2014
2014-04-30,40.4,40.4,40.5,40.17,35.46,-0.27,30,18,4,2014
2014-05-01,40.0,40.24,40.36,39.95,28.79,-0.99,1,18,5,2014
2014-05-02,39.69,40.31,40.34,39.66,43.42,-0.78,2,18,5,2014
2014-05-05,39.43,39.52,39.64,39.3,22.46,-0.66,5,19,5,2014
2014-05-06,39.06,39.29,39.35,38.95,27.11,-0.94,6,19,5,2014
2014-05-07,39.42,39.22,39.51,38.51,41.75,0.92,7,19,5,2014
2014-05-08,39.64,39.34,39.9,38.97,32.12,0.56,8,19,5,2014
2014-05-09,39.54,39.54,39.85,39.37,29.65,-0.25,9,19,5,2014
2014-05-12,39.97,39.74,40.02,39.65,22.79,1.09,12,20,5,2014
2014-05-13,40.42,39.92,40.5,39.85,27.0,1.13,13,20,5,2014
2014-05-14,40.24,40.3,40.45,40.05,18.82,-0.45,14,20,5,2014
2014-05-15,39.6,40.09,40.4,39.51,37.79,-1.59,15,20,5,2014
2014-05-16,39.83,39.67,39.84,39.27,29.87,0.58,16,20,5,2014
2014-05-19,39.75,39.61,39.82,39.46,24.54,-0.2,19,21,5,2014
2014-05-20,39.68,39.68,39.94,39.46,21.32,-0.18,20,21,5,2014
2014-05-21,40.35,39.8,40.35,39.74,22.4,1.69,21,21,5,2014
2014-05-22,40.1,40.29,40.35,39.85,20.2,-0.62,22,21,5,2014
2014-05-23,40.12,40.37,40.37,40.0,18.02,0.05,23,21,5,2014
2014-05-27,40.19,40.26,40.26,39.81,26.16,0.17,27,22,5,2014
2014-05-28,40.01,40.14,40.19,39.82,25.71,-0.45,28,22,5,2014
2014-05-29,40.34,40.15,40.35,39.91,19.89,0.82,29,22,5,2014
2014-05-30,40.94,40.45,40.97,40.25,34.58,1.49,30,22,5,2014
2014-06-02,40.79,40.95,41.09,40.68,18.5,-0.37,2,23,6,2014
2014-06-03,40.29,40.6,40.68,40.25,18.07,-1.23,3,23,6,2014
2014-06-04,40.32,40.21,40.37,39.86,23.21,0.07,4,23,6,2014
2014-06-05,41.21,40.59,41.25,40.4,31.87,2.21,5,23,6,2014
2014-06-06,41.48,41.48,41.66,41.24,24.06,0.66,6,23,6,2014
2014-06-09,41.27,41.39,41.48,41.02,15.02,-0.51,9,24,6,2014
2014-06-10,41.11,41.03,41.16,40.86,15.12,-0.39,10,24,6,2014
2014-06-11,40.86,40.93,41.07,40.77,18.04,-0.61,11,24,6,2014
2014-06-12,40.58,40.81,40.88,40.29,29.82,-0.69,12,24,6,2014
2014-06-13,41.23,41.1,41.56,40.86,26.31,1.6,13,24,6,2014
2014-06-16,41.5,41.04,41.61,41.04,24.21,0.65,16,25,6,2014
2014-06-17,41.68,41.29,41.91,40.34,22.52,0.43,17,25,6,2014
2014-06-18,41.65,41.6,41.74,41.18,27.1,-0.07,18,25,6,2014
2014-06-19,41.51,41.57,41.77,41.33,19.84,-0.34,19,25,6,2014
2014-06-20,41.68,41.45,41.83,41.38,47.77,0.41,20,25,6,2014
2014-06-23,41.99,41.73,42.0,41.69,18.74,0.74,23,26,6,2014
2014-06-24,41.74,41.83,41.94,41.56,26.52,-0.6,24,26,6,2014
2014-06-25,42.03,41.7,42.05,41.46,20.05,0.69,25,26,6,2014
2014-06-26,41.72,41.93,41.94,41.43,23.6,-0.74,26,26,6,2014
2014-06-27,42.25,41.61,42.29,41.51,74.64,1.27,27,26,6,2014
2014-06-30,41.7,42.17,42.21,41.7,30.81,-1.3,30,27,6,2014
2014-07-01,41.87,41.86,42.15,41.69,26.92,0.41,1,27,7,2014
2014-07-02,41.9,41.73,41.9,41.53,20.21,0.07,2,27,7,2014
2014-07-03,41.8,41.91,41.99,41.56,15.97,-0.24,3,27,7,2014
2014-07-07,41.99,41.75,42.12,41.71,21.95,0.45,7,28,7,2014
2014-07-08,41.78,41.87,42.0,41.61,31.22,-0.5,8,28,7,2014
2014-07-09,41.67,41.98,41.99,41.53,18.45,-0.26,9,28,7,2014
2014-07-10,41.69,41.37,42.0,41.05,21.86,0.05,10,28,7,2014
2014-07-11,42.09,41.7,42.09,41.48,24.09,0.96,11,28,7,2014
2014-07-14,42.14,42.22,42.45,42.04,21.88,0.12,14,29,7,2014
